jailID,charge,courtFile,bondOrFine,dispositionDate,dispositionOfCharge
9120M-001,MANUF/DELIVER COCAINE (>40G),16CF354,$25000.00,,
9120M-001,CONSPIRE TO MANUFACTURE/DELIVER DRUGS,16CF354,$.00,2016/04/26,WARRANT ADDITIONAL CHARGE
9120M-001,MANUF/DELIVER COCAINE (>40G),16CF711,$10000.00,,
9120M-001,DISORDERLY CONDUCT,16CM1690,$100.00,,
9120M-001,VIOLATE STATE/COUNTY INSTITUTION LAWS,,$.00,2016/12/27,COMBINED WITH CHARGE 4
7693F-018,FEDERAL AGENCY HOLD,,$.00,,
5913M-003,MANUFACTURE/DELIVER HEROIN (<3G),16CF559,$.00,,
5913M-003,MANUF/DELIVER THC (<=200 GRAMS),16CF559,$.00,2016/05/19,WARRANT ADDITIONAL CHARGE
5913M-003,MANUFACTURE/DELIVER HEROIN(>3-10G),16CF559,$.00,2016/05/19,WARRANT ADDITIONAL CHARGE
5913M-003,MANUF/DELIVER THC (<=200 GRAMS),16CF559,$.00,2016/05/19,WARRANT ADDITIONAL CHARGE
5913M-003,MANUFACTURE/DELIVER HEROIN(>3-10G),16CF559,$.00,2016/05/19,WARRANT ADDITIONAL CHARGE
5913M-003,MANUF/DELIVER THC (<=200 GRAMS),16CF559,$.00,2016/05/19,WARRANT ADDITIONAL CHARGE
681L-000,DISORDERLY CONDUCT - SEE 947.01(1),10CM1818,$.00,2010/11/17,SIGNATURE BOND
3962N-000,FEDERAL AGENCY HOLD,,$.00,,
4768L-002,MANUF/DELIVER COCAINE (<=1G),17CF409,$15000.00,,
4768L-002,MANUF/DELIVER COCAINE (>5-15G),,$.00,2017/04/20,COMBINED WITH CHARGE 1
4768L-002,MANUF/DELIVER COCAINE (>1-5G),,$.00,2017/04/20,COMBINED WITH CHARGE 1
4768L-002,MANUF/DELIVER COCAINE (<=1G),,$.00,2017/04/20,COMBINED WITH CHARGE 1
7003G-006,P&P HOLD - FELONY,00CF260,$.00,,
44941-002,BATTERY,17CM483,$750.00,,
44941-002,DISORDERLY CONDUCT,17CM483,$.00,2017/04/25,WARRANT ADDITIONAL CHARGE
6.98E-23,SEX OFFENDER-FAIL/UPDATE INFORMATION,16CF1302,$.00,,
87M-008,REVOCATION ORD & WARR,16CM1325,$.00,,
2361M-002,UNLAWFUL PHONE USE-THREATENS HARM,16CM388,$.00,,
2361M-002,RESISTING OR OBSTRUCTING AN OFFICER,16CM1578,$.00,2017/02/16,PLACED ON PROBATION
2361M-002,RESISTING OR OBSTRUCTING AN OFFICER,,$.00,2016/11/28,COMBINED WITH CHARGE 2
364D-008,P&P HOLD - FELONY,10CF41,$.00,2017/03/06,P.O.HOLD CANCELLED
364D-008,CAPIAS,,$.00,,
364D-008,CONTEMPT OF COURT - DISOBEY ORDER,12FA863,$.00,,
3136M-007,P&P HOLD - FELONY,16CF656,$.00,,
3136M-007,BATTERY,,$.00,2017/02/06,NO ISSUE
3136M-007,BATTERY,17FO108,$.00,2017/02/06,TIME TO PAY
8.011E-16,DISORDERLY CONDUCT,16CM1357,$.00,,
8362J-006,CONTEMPT OF COURT - DISOBEY ORDER,15FA587,$.00,,
281N-001,P&P HOLD - MISD,15CM1658,$.00,,
100086-004,CAPIAS,,$.00,,
6822M-002,FEDERAL AGENCY HOLD,,$.00,,
2586J-000,FEDERAL AGENCY HOLD,,$.00,2007/08/06,RELEASED TO OTHER AGENCY
6293J-019,P&P HOLD - FELONY,13CF377,$.00,,
6293J-019,OPERATE M/V WITHOUT LIABILITY INSURANCE,,$.00,2017/04/28,NO POST/RELEASED W/COURT
4256N-000,FEDERAL AGENCY HOLD,,$.00,,
6847L-003,REVOCATION ORD & WARR,14CF376,$.00,,
6847L-003,POSSESSION OF NARCOTIC DRUGS,17CF283,$5000.00,,
6847L-003,POSSESSION OF CONTROLLED SUBSTANCE,,$.00,2017/03/21,COMBINED WITH CHARGE 2
6847L-003,MANUF/DELIVER COCAINE (<=1G),,$.00,2017/03/21,COMBINED WITH CHARGE 2
6847L-003,RESISTING OR OBSTRUCTING AN OFFICER,,$.00,2017/03/21,COMBINED WITH CHARGE 2
6847L-003,POSSESS DRUG PARAPHERNALIA,,$.00,2017/03/21,COMBINED WITH CHARGE 2
3152M-005,P&P HOLD - FELONY,14CF844,$.00,,
4395N-000,ARMED ROBBERY WITH THREAT OF FORCE,16CF918,$15000.00,,
4395N-000,WARRANT OTHER AGENCY,,$.00,,
9189H-009,P&P HOLD - FELONY,13CF137,$.00,,
5166L-004,P&P HOLD - MISD,16CM1691,$.00,,
5166L-004,CONTEMPT OF COURT - DISOBEY ORDER,15FA108,$.00,,
5166L-004,RETAIL THEFT (<= $1000),17CF386,$.00,,
5166L-004,WARRANT OTHER AGENCY,,$200.00,,
5166L-004,RETAIL THEFT-INTENTIONALLY TAKE,17CM489,$.00,,
5166L-004,RETAIL THEFT (<= $1000),17CM546,$.00,,
9666M-001,BATTERY,15CM1447,$.00,,
9666M-001,OPERATING WHILE SUSPENDED,,$.00,2016/11/01,NO POST/RELEASED W/COURT
1873L-001,OPERATING WHILE INTOXICATED,17CF365,$7500.00,,
1873L-001,BAIL JUMPING-FELONY,,$.00,2017/04/10,COMBINED WITH CHARGE 1
1873L-001,CARRYING A CONCEALED WEAPON,,$.00,2017/04/10,NO ISSUE
1873L-001,STOPPING/STANDING ON A CROSSWALK,,$.00,2017/04/10,NO POST/RELEASED W/COURT
1873L-001,WARRANT OTHER AGENCY,,$.00,,
7264H-018,WARRANT OTHER AGENCY,09CF36,$.00,2017/04/14,P.O.HOLD CANCELLED
7264H-018,CONTEMPT OF COURT - DISOBEY ORDER,,$.00,,
4570N-000,FEDERAL AGENCY HOLD,,$.00,,
4570N-000,RETURN ON WRIT,,$.00,,
2700N-000,FEDERAL AGENCY HOLD,,$.00,,
5157L-003,POSSESS W/INTENT-COCAINE (>15-40G),16CF578,$.00,,
3343N-000,P&P HOLD-FELONY,STCF2015256,$.00,2017/01/04,P.O.HOLD CANCELLED
3343N-000,BATTERY OR THREAT TO JUDGE PROSECUTOR,16CF1404,$7500.00,,
3343N-000,THROW/DISCRG BODILY FLDS AT SAFETY WRKER,16CF1404,$.00,2016/12/22,COMBINED WITH CHARGE 2
3343N-000,RESISTING OR OBSTRUCTING AN OFFICER,16CF1404,$.00,2016/12/22,COMBINED WITH CHARGE 2
3343N-000,DISORDERLY CONDUCT,16CF1404,$.00,2016/12/22,COMBINED WITH CHARGE 2
3343N-000,OPERATING WHILE INTOXICATED,16TR16164,$.00,2016/12/22,PER COURT ORDER
3343N-000,OPERATING WHILE SUSPENDED,16TR16165,$.00,2016/12/22,PER COURT ORDER
1798G-012,ROBBERY WITH USE OF FORCE,16CF938,$7500.00,,
1798G-012,SUBSTANTIAL BATTERY-INTEND BODILY HARM,,$.00,2016/08/23,COMBINED WITH CHARGE 1
1798G-012,BAIL JUMPING-FELONY,,$.00,2016/08/23,COMBINED WITH CHARGE 1
1798G-012,CRT STATUS ONLY-NOT A CHARGE,16CF584,$.00,2016/09/01,*NOT A CHARGE*
1798G-012,CRT STATUS ONLY-NOT A CHARGE,08FA959,$.00,2016/12/05,*NOT A CHARGE*
9119K-006,OPERATING WHILE INTOXICATED,16CT607,$.00,,
2083H-002,P&P HOLD - FELONY,02CF24,$.00,,
6488K-009,BAIL JUMPING-MISDEMEANOR,16CM431,$.00,,
6488K-009,BATTERY,16CM1625,$.00,2017/01/26,PLACED ON PROBATION
6488K-009,BATTERY,,$.00,2016/12/07,COMBINED WITH CHARGE 2
6488K-009,DISORDERLY CONDUCT,,$.00,2016/12/07,COMBINED WITH CHARGE 2
6488K-009,BATTERY,,$.00,2016/12/07,NO ISSUE
6488K-009,DISORDERLY CONDUCT,,$.00,2016/12/07,COMBINED WITH CHARGE 2
6488K-009,CRIMINAL DAMAGE TO PROPERTY,16CM330,$.00,,
974H-022,1ST DEG SEX CONTACT CHILD UNDER 13,15CF1220,$50000.00,,
974H-022,INCEST WITH CHILD,17CF362,$25000.00,,
974H-022,1ST DEG SEX ASLT CHILD UNDER 12,,$.00,2017/04/13,COMBINED WITH CHARGE 2
974H-022,INCEST WITH CHILD,,$.00,2017/04/13,COMBINED WITH CHARGE 2
974H-022,REPEATED SEX ASLT SAME CHILD => 3 VIOL,,$.00,2017/04/13,COMBINED WITH CHARGE 2
974H-022,REPEATED SEX ASLT SAME CHILD => 3 VIOL,,$.00,2017/04/13,COMBINED WITH CHARGE 2
974H-022,THREATS TO INJURE/ACCUSE OF CRIME,,$.00,2017/04/13,COMBINED WITH CHARGE 2
3941J-023,POSSESS W/INTENT-THC (<=200GRAMS),17CF37,$.00,,
3941J-023,POSSESS W/INTENT-SCHEDULE IV DRUGS,,$.00,2017/01/11,COMBINED WITH CHARGE 1
3941J-023,FELON POSSESS FIREARM,,$.00,2017/01/11,COMBINED WITH CHARGE 1
3941J-023,POSSESSION OF CONTROLLED SUBSTANCE,,$.00,2017/01/11,COMBINED WITH CHARGE 1
3941J-023,POSSESSION OF CONTROLLED SUBSTANCE,,$.00,2017/01/11,COMBINED WITH CHARGE 1
3941J-023,POSSESSION OF NARCOTIC DRUGS,,$.00,2017/01/11,COMBINED WITH CHARGE 1
3941J-023,BATTERY,17CM52,$.00,2017/01/11,BOND CONTINUED POSTED
2423N-000,FEDERAL AGENCY HOLD,,$.00,,
3738N-000,WARRANT OTHER AGENCY,08CF940,$.00,,
3738N-000,POSSESS W/INTENT-COCAINE (>15-40G),17CF144,$10000.00,,
3738N-000,FAIL/ATTACH REAR REGIS. DECAL/TAG,17TR1942,$.00,2017/02/09,PER COURT ORDER
3048N-001,BAIL JUMPING-FELONY,17CF61,$.00,,
3048N-001,POSSESSION OF THC,,$.00,2017/01/19,COMBINED WITH CHARGE 1
3048N-001,DISORDERLY CONDUCT,,$.00,2017/01/19,COMBINED WITH CHARGE 1
3048N-001,CHILD ABUSE-INTENTIONALLY CAUSE HARM,16CF1262,$.00,,
3048N-001,CRIMINAL DAMAGE TO PROPERTY,,$200.00,,
3048N-001,DISORDERLY CONDUCT,,$.00,2017/03/22,DISMISSED
3048N-001,VIOLATE STATE/COUNTY INSTITUTION LAWS,,$.00,2017/03/22,DISMISSED
9649F-036,P&P HOLD - FELONY,13CF994,$.00,,
9649F-036,POSSESS W/INTENT-THC (<=200GRAMS),17CF17,$.00,2017/04/03,PLACED ON PROBATION
9649F-036,OPERATING WHILE INTOXICATED,,$.00,2016/12/14,AFTER 12-HOUR HOLD
8559F-015,WARRANT OTHER AGENCY,10CF1461,$.00,,
8559F-015,WARRANT OTHER AGENCY,02FA1509,$9755.00,,
8559F-015,WARRANT OTHER AGENCY,,$1055.00,,
8559F-015,REVOCATION ORD & WARR,06CF1056,$.00,,
1883N-000,REPEATED SEX ASLT SAME CHILD => 3 VIOL,,$.00,2016/07/13,NO ISSUE
1883N-000,2ND DEGREE SEXUAL ASSAULT OF CHILD,16CF782,$15000.00,,
1883N-000,CRT STATUS ONLY-NOT A CHARGE,16SC3511,$.00,2016/12/08,*NOT A CHARGE*
68761-018,P&P HOLD - FELONY,10CF1005,$.00,,
68761-018,FAILURE TO NOTIFY POLICE OF ACCIDENT,17TR1010,$.00,2017/02/07,PER COURT ORDER
68761-018,ROBBERY,17CF131,$10000.00,,
68761-018,POSSESS W/INTENT-THC (<=200GRAMS),,$.00,2017/02/07,COMBINED WITH CHARGE 3
68761-018,THREATS TO INJURE/ACCUSE CRIME-COMMERCE,,$.00,2017/02/08,NO ISSUE
68761-018,HIT AND RUN,,$.00,2017/02/07,COMBINED WITH CHARGE 3
68761-018,BATTERY,,$.00,2017/02/07,COMBINED WITH CHARGE 3
9731L-004,P&P HOLD - FELONY,13CF117,$.00,,
7513G-011,P&P HOLD - MISD,13CM1880,$.00,,
9125J-007,CONTEMPT OF COURT - DISOBEY ORDER,,$.00,,
9125J-007,OUT OF COUNTY WARRANT,16CT1362,$.00,,
9125J-007,CRT STATUS ONLY-NOT A CHARGE,16CT516,$.00,2017/04/26,*NOT A CHARGE*
705N-001,P&P HOLD - FELONY,16CF253,$.00,,
705N-001,POSSESSION OF THC,,$.00,2017/04/29,PENDING SUMMONS AND COMPL
8938L-005,VEHICLE OPERATOR FLEE/ELUDE OFFICER,17CF190,$1000.00,,
8938L-005,CRT STATUS ONLY-NOT A CHARGE,15CF955,$.00,2017/02/23,*NOT A CHARGE*
8938L-005,CRT STATUS ONLY-NOT A CHARGE,15CF1169,$.00,2017/04/20,*NOT A CHARGE*
7357F-022,POSSESSION OF COCAINE/COCA,15CF1187,$.00,,
650J-005,BAIL JUMPING-MISDEMEANOR,17CM516,$.00,,
650J-005,HIT AND RUN,16CT626,$443.00,,
650J-005,OPERATING WHILE REVOKED,17CM129,$443.00,,
650J-005,OPERATING WHILE REVOKED,,$.00,2017/04/24,COMBINED WITH CHARGE 1
650J-005,WARRANT OTHER AGENCY,16CM2426,$.00,,
2981H-013,SUBSTANTIAL BATTERY-INTEND BODILY HARM,17CF48,$2000.00,,
2981H-013,DISORDERLY CONDUCT,,$.00,2017/01/17,NO ISSUE
4497G-016,MISAPPROPRIATE ID INFO - OBTAIN MONEY,17CF128,$.00,,
4497G-016,THEFT-MOVABLE PROPERTY,17CF128,$.00,2017/02/13,WARRANT ADDITIONAL CHARGE
4497G-016,RESISTING OR OBSTRUCTING AN OFFICER,17CM191,$.00,2017/04/28,DISMISSED
4486N-000,INTIMIDATE VICTIM/USE OR ATTEMPT FORCE,17CF213,$7500.00,,
4486N-000,STRANGULATION AND SUFFOCATION,17CF213,$.00,2017/04/14,WARRANT ADDITIONAL CHARGE
4486N-000,BATTERY,17CF213,$.00,2017/04/14,WARRANT ADDITIONAL CHARGE
4486N-000,DISORDERLY CONDUCT,17CF213,$.00,2017/04/14,WARRANT ADDITIONAL CHARGE
8268D-007,KNOWINGLY VIOLATE A DOMESTIC ABUSE ORDER,17CM231,$750.00,,
8268D-007,CRT STATUS ONLY-NOT A CHARGE,17CV200,$.00,2017/02/27,*NOT A CHARGE*
8268D-007,CRT STATUS ONLY-NOT A CHARGE,06FA91,$.00,2017/02/28,*NOT A CHARGE*
4488N-000,POSSESS W/INTENT-HEROIN(>3-10G),17CF392,$7500.00,,
5836L-007,P&P HOLD - MISD,16CM829,$.00,2017/04/05,P.O.HOLD CANCELLED
5836L-007,MANUF/DELIVER COCAINE (>1-5G),16CF946,$5000.00,,
5836L-007,BAIL JUMPING-FELONY,16CF1341,$.00,,
5836L-007,BAIL JUMPING-FELONY,,$.00,2017/03/17,NO ISSUE
5836L-007,OPERATING WHILE REVOKED,17CF280,$750.00,,
5836L-007,KNOWINGLY VIOLATE A DOMESTIC ABUSE ORDER,16CM829,$.00,,
2786N-000,STRANGULATION AND SUFFOCATION,16CF704,$2000.00,,
2786N-000,CHILD ABUSE-INTENTIONALLY CAUSE HARM,16CF704,$.00,2016/10/16,WARRANT ADDITIONAL CHARGE
2786N-000,STRANGULATION AND SUFFOCATION,16CF704,$.00,2016/10/16,WARRANT ADDITIONAL CHARGE
2786N-000,BATTERY,16CF704,$.00,2016/10/16,WARRANT ADDITIONAL CHARGE
2786N-000,DISORDERLY CONDUCT,16CF704,$.00,2016/10/16,WARRANT ADDITIONAL CHARGE
4047N-000,POSSESSION OF THC,17CM278,$500.00,,
4047N-000,RESISTING OR OBSTRUCTING AN OFFICER,,$.00,2017/03/06,COMBINED WITH CHARGE 1
4047N-000,OPEN INTOXICANT - SIDEWALK STREET OR MV,,$.00,2017/03/04,NO POST/RELEASED W/COURT
29241-003,CONTEMPT OF COURT - DISOBEY ORDER,,$.00,,
29241-003,OPERATE M/V WITHOUT LIABILITY INSURANCE,,$.00,2017/04/12,NO POST/RELEASED W/COURT
29241-003,OPERATE W/O VALID LICENSE,,$.00,2017/04/12,NO POST/RELEASED W/COURT
1851J-014,OPERATING WHILE REVOKED,15CT2,$.00,,
1851J-014,OPERATING WHILE INTOXICATED,16CM1395,$.00,,
1851J-014,OPERATING WHILE INTOXICATED-BAC .1%+,16CM1395,$.00,2016/10/06,COMBINED WITH CHARGE 2
1851J-014,OPERATING WHILE REVOKED,,$.00,2016/10/19,NO ISSUE
1851J-014,OPERATE M/V WITHOUT LIABILITY INSURANCE,16TR12598,$.00,2016/10/06,NO POST/RELEASED W/COURT
1851J-014,NON-REGISTRATION OF VEHICLE,16TR12599,$.00,2016/10/06,NO POST/RELEASED W/COURT
1851J-014,FAILURE TO NOTIFY POLICE OF ACCIDENT,16TR12596,$.00,2016/10/06,NO POST/RELEASED W/COURT
8165L-001,FALSE IMPRISONMENT,17CF302,$3000.00,,
8165L-001,DISORDERLY CONDUCT,,$.00,2017/03/27,COMBINED WITH CHARGE 1
8165L-001,RESISTING OR OBSTRUCTING AN OFFICER,,$.00,2017/03/27,COMBINED WITH CHARGE 1
7089K-001,ROBBERY WITH USE OF FORCE,17CF340,$20000.00,,
7089K-001,AGGRAVATED BATTERY-PHYSICALLY DISABLED,,$.00,2017/04/05,COMBINED WITH CHARGE 1
7089K-001,DISORDERLY CONDUCT,,$.00,2017/04/05,NO ISSUE
5570D-024,P&P HOLD - MISD,,$.00,,
5570D-024,RETAIL THEFT (<= $1000),,$200.00,,
5570D-024,RETAIL THEFT (<= $1000),,$200.00,,
5318C-020,OPER VEH W/O CONSENT ABAND 24HR W/O DAMG,16CF1390,$7500.00,,
5318C-020,THEFT-MOVABLE PROPERTY,16CF1390,$.00,2017/01/06,WARRANT ADDITIONAL CHARGE
5318C-020,BURGLARY-BUILDING OR DWELLING,16CF1390,$.00,2017/01/06,WARRANT ADDITIONAL CHARGE
5318C-020,THEET-MOVABLE PROPERTY,16CF1390,$.00,2017/01/06,WARRANT ADDITIONAL CHARGE
5763H-020,SUBSTANTIAL BATTERY-INTEND BODILY HARM,17CF315,$1000.00,,
5763H-020,2ND-DEGREE RECKLESSLY ENDANGERING SAFETY,,$.00,2017/03/30,COMBINED WITH CHARGE 1
5763H-020,CRIMINAL DAMAGE TO PROPERTY,16CM780,$.00,2017/04/16,TIME SERVED
5763H-020,CRT STATUS ONLY-NOT A CHARGE,17SC962,$.00,2017/04/10,*NOT A CHARGE*
6976K-007,MANUF/DELIVER COCAINE (>1-5G),16CF983,$20000.00,,
6976K-007,MANUF/DELIVER COCAINE (>1-5G),16CF983,$.00,2016/08/30,COMBINED WITH CHARGE 1
6976K-007,MANUF/DELIVER COCAINE (>1-5G),16CF983,$.00,2016/08/30,COMBINED WITH CHARGE 1
6976K-007,MANUF/DELIVER COCAINE (>1-5G),16CF983,$.00,2016/08/30,COMBINED WITH CHARGE 1
6976K-007,MAINTAIN DRUG TRAFFICKING PLACE,16CF983,$.00,2016/08/30,COMBINED WITH CHARGE 1
6976K-007,POSSESS DRUG PARAPHERNALIA,16CF983,$.00,2016/08/30,COMBINED WITH CHARGE 1
6976K-007,MANUF/DELIVER COCAINE (>40G),,$.00,2016/09/07,PENDING SUMMONS AND COMPL
5002H-008,EXTENDED SUPERVISION SANCTION,15CF898,$.00,,
5002H-008,DRIVE OR OPERATE VEHICLE W/O CONSENT,17CF321,$.00,,
6550M-003,RETAIL THEET-INTENTIONALLY TAKE,15CF93,$.00,,
4039N-000,FEDERAL AGENCY HOLD,,$.00,,
1069M-002,2ND DEG. SEX ASSAULT/USE OF FORCE,16CF908,$35000.00,,
1069M-002,POSSESS DRUG PARAPHERNALIA,,$.00,2016/08/16,NO ISSUE
1069M-002,OPERATING WHILE REVOKED,16CT507,$.00,,
1069M-002,IGNITION INTERLOCK DEVICE TAMPERING,16CT507,$.00,2016/08/13,WARRANT ADDITIONAL CHARGE
3.936E+02,BATTERY,16CM1508,$10000.00,,
3.936E+02,DISORDERLY CONDUCT,16CM1508,$.00,2017/04/12,WARRANT ADDITIONAL CHARGE
3.936E+02,RESISTING OR OBSTRUCTING AN OFFICER,17CM507,$2500.00,,
3.936E+02,BAIL JUMPING-MISDEMEANOR,,$.00,2017/04/12,COMBINED WITH CHARGE 3
766N-001,AGGRAVATED BATTERY-PHYSICALLY DISABLED,16CF278,$2500.00,,
6662M-003,OPERATING WHILE INTOXICATED,17CT191,$.00,,
8917L-004,REVOCATION ORD & WARR,16CF20,$.00,,
8917L-004,BURGLARY-BUILDING OR DWELLING,17CF396,$30000.00,,
8917L-004,CREDIT CARD-THEFT BY ACQUISITION,,$.00,2017/04/18,COMBINED WITH CHARGE 2
8917L-004,MISAPPROPRIATE ID INFO - OBTAIN MONEY,,$.00,2017/04/18,COMBINED WITH CHARGE 2
8917L-004,CREDIT CARD-FRAUDULENT USE,,$.00,2017/04/18,COMBINED WITH CHARGE 2
8917L-004,CREDIT CARD-FRAUDULENT USE,,$.00,2017/04/18,COMBINED WITH CHARGE 2
8917L-004,REVOCATION ORD & WARR,16CM226,$.00,,
2102N-001,CAUSE INJURY/OPERATING WHILE INTOXICATED,16CF880,$.00,,
8744M-001,BAIL JUMPING-MISDEMEANOR,15CM1468,$1000.00,,
8744M-001,POSSESSION OF THC,15CM944,$400.00,,
335N-000,FEDERAL AGENCY HOLD,,$.00,,
5057B-029,WARRANT OTHER AGENCY,05CF1224,$.00,2010/11/17,P.O.HOLD CANCELLED
1900N-004,MANUFACTURE/DELIVER HEROIN(>3-10G),16CF676,$.00,,
822M-002,ARMED ROBBERY WITH THREAT OF FORCE,17CF135,$3000.00,,
3391N-000,TAKE AND DRIVE VEHICLE W/O CONSENT,16CF1411,$500.00,,
3391N-000,OPERATING WHILE INTOXICATED,,$.00,2016/12/25,AFTER 12-HOUR HOLD
3391N-000,POSSESS OPEN INTOXICANTS IN MV,,$.00,2016/12/25,NO POST/RELEASED W/COURT
3391N-000,OPERATE W/O VALID LICENSE,,$.00,2016/12/25,NO POST/RELEASED W/COURT
7757M-000,FEDERAL AGENCY HOLD,,$.00,,
727N-002,IMPERSONATING A PEACE OFFICER,16CF260,$.00,,
6015H-015,P&P HOLD - FELONY,08CF385,$.00,,
6015H-015,CONTEMPT OF COURT - DISOBEY ORDER,,$.00,,
6015H-015,WARRANT OTHER AGENCY,15CF210,$50035.00,,
6332B-021,P&P HOLD - FELONY,92CF824,$.00,2016/08/18,P.O.HOLD CANCELLED
6332B-021,1ST DEG. SEXUAL ASSAULT-AGAINST CHILD,92CF824/CT1,$.00,2016/08/19,TIME SERVED
6332B-021,"1ST DEG. SEXUAL ASSAULT-USE/DANG,WEAPON",92CF824/CT5,$.00,,
5664B-013,BAIL JUMPING-FELONY,17CF274,$1500.00,,
5664B-013,DISORDERLY CONDUCT,17CF274,$.00,2017/03/20,COMBINED WITH CHARGE 1
5664B-013,CRT STATUS ONLY-NOT A CHARGE,16CF1400,$.00,2017/04/03,*NOT A CHARGE*
2204N-000,BURGLARY-BUILDING OR DWELLING,16CF921,$7500.00,,
2204N-000,BURGLARY-BUILDING OR DWELLING,,$.00,2016/08/19,NO ISSUE
2204N-000,BURGLARY-BUILDING OR DWELLING,,$.00,2016/08/19,NO ISSUE
2204N-000,BURGLARY-BUILDING OR DWELLING,,$.00,2016/08/19,NO ISSUE
2204N-000,THEET-MOVABLE PROPERTY,,$.00,2016/08/19,COMBINED WITH CHARGE 1
2204N-000,THEET-MOVABLE PROPERTY,,$.00,2016/08/19,NO ISSUE
2204N-000,THEET-MOVABLE PROPERTY,,$.00,2016/08/19,NO ISSUE
6465F-008,OPERATING WHILE SUSPENDED,16TR12636,$200.50,,
6465F-008,DISPLAY UNAUTH. VEH. REGISTRATION PLATE,16TR12637,$238.30,,
6465F-008,WARRANT OTHER AGENCY,15CM182,$594.00,,
3508H-013,MANUF/DELIVER COCAINE (<=1G),16CF1401,$25000.00,,
3508H-013,MANUF/DELIVER COCAINE (<=1G),,$.00,2016/12/21,COMBINED WITH CHARGE 1
3508H-013,MANUF/DELIVER COCAINE (>1-5G),,$.00,2016/12/21,COMBINED WITH CHARGE 1
3508H-013,MANUFACTURE/DELIVER HEROIN (<3G),,$.00,2016/12/21,COMBINED WITH CHARGE 1
3508H-013,MANUF/DELIVER COCAINE (<=1G),,$.00,2016/12/21,COMBINED WITH CHARGE 1
3508H-013,MANUFACTURE/DELIVER HEROIN (<3G),,$.00,2016/12/21,COMBINED WITH CHARGE 1
3508H-013,MANUF/DELIVER COCAINE (>1-5G),,$.00,2016/12/21,COMBINED WITH CHARGE 1
2066L-004,REVOCATION ORD & WARR,16CM1652,$.00,,
2066L-004,OPERATING WHILE INTOXICATED,17CT195,$.00,,
2066L-004,OPERATING LEFT OF CENTER LINE,17TR3338,$.00,2017/03/15,PER COURT ORDER
2066L-004,OPERATING WHILE REVOKED,,$.00,2017/03/15,COMBINED WITH CHARGE 2
2066L-004,REVOCATION ORD & WARR,16CM1658,$.00,,
8511-009,P&P HOLD - FELONY,13CF322,$.00,,
7194H-003,FEDERAL AGENCY HOLD,,$.00,,
4574N-000,FEDERAL AGENCY HOLD,,$.00,,
3093N-001,BAIL JUMPING-FELONY,17CF308,$.00,,
3093N-001,POSSESSION OF THC,16CF1293,$500.00,,
4589N-000,OPERATE M/V WITHOUT LIABILITY INSURANCE,17TR1547,$200.50,,
4589N-000,OPERATING WHILE SUSPENDED,17TR1546,$200.50,,
5094G-022,CONTEMPT OF COURT - DISOBEY ORDER,03FA1309U,$.00,,
5094G-022,CONTEMPT OF COURT - DISOBEY ORDER,,$.00,,
5259K-010,P&P HOLD - FELONY,14CF1003,$.00,,
5259K-010,POSSESSION OF THC,17CF175,$750.00,,
9245F-013,P&P HOLD - FELONY,03CF336,$.00,,
6027H-021,DISORDERLY CONDUCT,15CM982,$.00,2017/04/04,TIME SERVED
6027H-021,DISORDERLY CONDUCT,16CM209,$750.00,,
6027H-021,DISORDERLY CONDUCT,15CM982,$1813.00,,
3133J-009,P&P HOLD - MISD,16CF1291,$.00,,
3133J-009,BATTERY,16CF1291,$.00,,
3133J-009,KNOWINGLY VIOLATE CHILD ABUSE ORDER,17CM450,$1000.00,,
7202K-007,P&P HOLD - FELONY,13CF1094,$.00,,
3691I-002,CAUSE INJURY/OPERATING WHILE INTOXICATED,04CM2639,$7500.00,,
3691I-002,OPERATING WHILE INTOXICATED,04CM2639,$.00,2017/04/07,WARRANT ADDITIONAL CHARGE
3691I-002,HIT AND RUN,04CM2639,$.00,2017/04/07,WARRANT ADDITIONAL CHARGE
3691I-002,RESISTING OR OBSTRUCTING AN OFFICER,04CM2639,$.00,2017/04/07,WARRANT ADDITIONAL CHARGE
3691I-002,CAUSE INJURY/OPERATING W/ BAC 1%+,04CM2639,$.00,2017/04/07,WARRANT ADDITIONAL CHARGE
3691I-002,OPERATING WHILE INTOXICATED-BAC 1%+,04CM2639,$.00,2017/04/07,WARRANT ADDITIONAL CHARGE
3691I-002,BAIL JUMPING-MISDEMEANOR,06CM1985,$2500.00,,
129C-018,1ST-DEGREE RECKLESSLY ENDANGERING SAFETY,16CF608,$10000.00,,
129C-018,FELON POSSESS FIREARM,,$.00,2016/05/31,COMBINED WITH CHARGE 1
129C-018,CARRY CONCEALED WEAPON,,$.00,2016/05/31,COMBINED WITH CHARGE 1
129C-018,BATTERY,,$.00,2016/05/31,NO ISSUE
129C-018,DISORDERLY CONDUCT,,$.00,2016/05/31,NO ISSUE
5417F-020,P&P HOLD - FELONY,08CF1123,$.00,2016/08/16,P.O.HOLD CANCELLED
5417F-020,MANUF/DELIVER COCAINE (>5-15G),16CF314,$25000.00,,
5417F-020,MANUFACTURE/DELIVER HEROIN (<3G),16CF314,$.00,2016/03/23,WARRANT ADDITIONAL CHARGE
5417F-020,MANUFACTURE/DELIVER HEROIN(>10-50G),16CF314,$.00,2016/03/23,WARRANT ADDITIONAL CHARGE
8104L-008,MANUFACTURE/DELIVER HEROIN (<3G),16CF567,$6000.00,,
